97, 4.455, 17.2, 0.74, 0.1603, -0.0638
98, 4.502, 15.4, 0.76, 0.1067, -0.0356
99, 4.548, 13.5, 0.79, 0.0697, -0.0196
100, 4.595, 11.4, 0.74, 0.0454, -0.0182
101, 4.641, 9.8, 0.72, 0.0366, -0.0250
102, 4.687, 8.0, 0.65, 0.0255, -0.0253
103, 4.734, 6.7, 0.59, 0.0172, -0.0232
104, 4.780, 5.6, 0.52, 0.0162, -0.0291
105, 4.827, 3.9, 0.47, 0.0089, -0.0391
106, 4.873, 3.4, 0.40, 0.0091, -0.0360
107, 4.919, 2.8, 0.35, 0.0071, -0.0367
108, 4.966, 2.9, 0.33, 0.0092, -0.0367
109, 5.012, 2.9, 0.32, 0.0091, -0.0343
110, 5.059, 2.8, 0.31, 0.0089, -0.0318
111, 5.105, 2.8, 0.35, 0.0077, -0.0352
112, 5.152, 3.9, 0.47, 0.0105, -0.0393
113, 5.198, 5.5, 0.61, 0.0179, -0.0417
114, 5.244, 7.2, 0.77, 0.0239, -0.0492
115, 5.291, 9.0, 0.92, 0.0334, -0.0493
116, 5.337, 10.8, 1.00, 0.0494, -0.0556
117, 5.384, 13.0, 1.04, 0.0802, -0.0630
118, 5.430, 14.5, 1.09, 0.1000, -0.0650
119, 5.476, 16.7, 1.05, 0.1395, -0.0720
120, 5.523, 18.3, 1.02, 0.2247, -0.1068
