1, 0.000, -1.4, -0.14, 0.0052, -0.0204
2, 0.046, 0.2, 0.03, 0.0070, -0.0335
3, 0.093, 2.0, 0.20, 0.0101, -0.0326
4, 0.139, 3.9, 0.41, 0.0120, -0.0403
5, 0.186, 5.5, 0.62, 0.0180, -0.0453
6, 0.232, 7.7, 0.79, 0.0252, -0.0420
7, 0.278, 9.3, 0.94, 0.0315, -0.0477
8, 0.325, 11.4, 1.02, 0.0616, -0.0641
9, 0.371, 12.9, 1.01, 0.0703, -0.0514
10, 0.418, 14.1, 1.01, 0.0781, -0.0502
11, 0.464, 15.6, 1.01, 0.1075, -0.0528
12, 0.511, 16.4, 0.96, 0.1313, -0.0660
13, 0.557, 17.2, 0.95, 0.1975, -0.1028
14, 0.603, 17.2, 0.75, 0.2213, -0.1128
15, 0.650, 17.6, 0.74, 0.1636, -0.0629
16, 0.696, 17.6, 0.75, 0.1457, -0.0516
17, 0.743, 17.7, 0.83, 0.1738, -0.0817
18, 0.789, 16.8, 0.73, 0.1610, -0.0655
19, 0.835, 15.6, 0.60, 0.1025, -0.0278
20, 0.882, 15.1, 0.70, 0.0814, -0.0191
21, 0.928, 13.0, 0.76, 0.0546, -0.0179
22, 0.975, 11.1, 0.76, 0.0397, -0.0240
23, 1.021, 9.2, 0.64, 0.0236, -0.0100
24, 1.067, 7.1, 0.59, 0.0134, -0.0173
25, 1.114, 5.6, 0.51, 0.0092, -0.0233
26, 1.160, 3.4, 0.41, 0.0031, -0.0272
27, 1.207, 1.8, 0.26, 0.0040, -0.0302
28, 1.253, 0.4, 0.10, 0.0087, -0.0271
29, 1.299, -0.9, -0.06, 0.0025, -0.0227
30, 1.346, -1.9, -0.18, 0.0086, -0.0192
31, 1.392, -3.0, -0.27, 0.0083, -0.0143
32, 1.439, -3.0, -0.31, 0.0093, -0.0127
33, 1.485, -3.5, -0.33, 0.0080, -0.0127
34, 1.532, -3.5, -0.32, 0.0096, -0.0182
35, 1.578, -3.5, -0.31, 0.0078, -0.0202
36, 1.624, -3.1, -0.29, 0.0079, -0.0185
37, 1.671, -1.9, -0.18, 0.0051, -0.0207
38, 1.717, -0.3, -0.04, 0.0050, -0.0300
39, 1.764, 1.3, 0.14, 0.0067, -0.0346
40, 1.810, 2.9, 0.32, 0.0085, -0.0360
41, 1.856, 5.0, 0.51, 0.0153, -0.0398
42, 1.903, 6.6, 0.71, 0.0190, -0.0426
43, 1.949, 8.7, 0.88, 0.0277, -0.0437
44, 1.996, 10.3, 1.00, 0.0412, -0.0510
45, 2.042, 12.2, 0.99, 0.0623, -0.0501
46, 2.088, 13.9, 0.96, 0.0753, -0.0370
47, 2.135, 15.1, 0.99, 0.0962, -0.0489
48, 2.181, 16.2, 1.01, 0.1304, -0.0709
49, 2.228, 16.7, 1.02, 0.1526, -0.0788
50, 2.274, 17.2, 0.95, 0.1810, -0.0848
51, 2.320, 17.5, 0.82, 0.2002, -0.0939
52, 2.367, 17.7, 0.88, 0.1791, -0.0744
53, 2.413, 17.6, 0.91, 0.2011, -0.0942
54, 2.460, 17.2, 0.69, 0.1843, -0.0793
55, 2.506, 16.2, 0.66, 0.1209, -0.0445
56, 2.553, 15.1, 0.70, 0.0859, -0.0252
57, 2.599, 13.5, 0.73, 0.0626, -0.0137
58, 2.645, 12.0, 0.74, 0.0445, -0.0136
59, 2.692, 9.8, 0.71, 0.0301, -0.0190
60, 2.738, 8.2, 0.63, 0.0237, -0.0167
61, 2.785, 6.2, 0.54, 0.0109, -0.0164
62, 2.831, 4.5, 0.46, 0.0097, -0.0291
63, 2.877, 2.3, 0.31, 0.0047, -0.0290
64, 2.924, 0.8, 0.16, 0.0050, -0.0279
65, 2.970, -0.3, 0.01, 0.0060, -0.0237
66, 3.017, -1.5, -0.12, 0.0044, -0.0215
67, 3.063, -2.4, -0.23, 0.0049, -0.0186
68, 3.109, -2.9, -0.29, 0.0047, -0.0164
69, 3.156, -3.5, -0.32, 0.0100, -0.0141
70, 3.202, -3.5, -0.32, 0.0070, -0.0176
71, 3.249, -3.5, -0.32, 0.0102, -0.0168
72, 3.295, -3.5, -0.31, 0.0096, -0.0170
73, 3.342, -2.6, -0.23, 0.0068, -0.0178
74, 3.388, -1.1, -0.09, 0.0047, -0.0292
75, 3.434, 0.6, 0.07, 0.0057, -0.0330
76, 3.481, 2.4, 0.25, 0.0107, -0.0375
77, 3.527, 4.0, 0.45, 0.0122, -0.0406
78, 3.574, 6.1, 0.65, 0.0208, -0.0436
79, 3.620, 7.9, 0.82, 0.0224, -0.0426
80, 3.666, 9.8, 0.96, 0.0354, -0.0457
81, 3.713, 11.4, 1.01, 0.0501, -0.0528
82, 3.759, 13.3, 0.98, 0.0662, -0.0477
83, 3.806, 14.6, 1.00, 0.0854, -0.0423
84, 3.852, 15.6, 1.00, 0.1101, -0.0543
85, 3.898, 16.7, 0.98, 0.1396, -0.0620
86, 3.945, 17.4, 0.93, 0.2010, -0.0996
87, 3.991, 17.5, 0.77, 0.2045, -0.0973
88, 4.038, 17.2, 0.75, 0.1655, -0.0704
89, 4.084, 17.5, 0.86, 0.1803, -0.0807
90, 4.130, 17.3, 0.79, 0.1770, -0.0756
91, 4.177, 16.7, 0.75, 0.1645, -0.0755
92, 4.223, 15.7, 0.65, 0.1234, -0.0508
93, 4.270, 14.0, 0.66, 0.0724, -0.0212
94, 4.316, 12.4, 0.71, 0.0468, -0.0107
95, 4.363, 10.8, 0.74, 0.0424, -0.0191
96, 4.409, 8.7, 0.66, 0.0236, -0.0138
97, 4.455, 7.2, 0.59, 0.0154, -0.0191
98, 4.502, 5.0, 0.50, 0.0059, -0.0228
99, 4.548, 3.4, 0.39, 0.0063, -0.0322
100, 4.595, 1.7, 0.23, 0.0073, -0.0288
101, 4.641, 0.3, 0.07, 0.0078, -0.0281
102, 4.687, -1.4, -0.07, 0.0083, -0.0257
