Sample No, Time (sec), AOA (deg), Cl, Cdp, Cm
45, 2.042, 18.8, 0.89, 0.2659, -0.1149
46, 2.088, 20.9, 1.04, 0.4103, -0.2023
47, 2.135, 22.5, 0.99, 0.4032, -0.1696
48, 2.181, 24.5, 0.98, 0.4795, -0.1689
49, 2.228, 25.7, 0.88, 0.5066, -0.1706
50, 2.274, 27.0, 0.93, 0.5471, -0.1712
51, 2.320, 27.9, 0.87, 0.5582, -0.1758
52, 2.367, 28.4, 1.02, 0.6299, -0.1954
53, 2.413, 28.9, 0.92, 0.6148, -0.1930
54, 2.460, 28.9, 0.93, 0.6111, -0.1918
55, 2.506, 28.9, 0.98, 0.6176, -0.1898
56, 2.553, 29.1, 0.95, 0.6122, -0.1896
57, 2.599, 28.4, 0.95, 0.6108, -0.1941
58, 2.645, 26.8, 0.91, 0.5272, -0.1651
59, 2.692, 25.4, 0.87, 0.4756, -0.1602
60, 2.738, 23.9, 0.76, 0.3759, -0.1194
61, 2.785, 21.7, 0.76, 0.2876, -0.0856
62, 2.831, 19.9, 0.88, 0.2820, -0.1236
63, 2.877, 17.8, 0.66, 0.1660, -0.0591
64, 2.924, 16.2, 0.68, 0.1127, -0.0391
65, 2.970, 14.3, 0.77, 0.0727, -0.0237
66, 3.017, 12.4, 0.76, 0.0458, -0.0115
67, 3.063, 11.3, 0.80, 0.0455, -0.0278
68, 3.109, 9.8, 0.76, 0.0342, -0.0230
69, 3.156, 9.2, 0.72, 0.0260, -0.0212
70, 3.202, 8.7, 0.74, 0.0285, -0.0285
71, 3.249, 8.2, 0.72, 0.0231, -0.0255
72, 3.295, 8.2, 0.76, 0.0237, -0.0337
73, 3.342, 8.8, 0.77, 0.0273, -0.0329
74, 3.388, 8.1, 0.78, 0.0223, -0.0363
75, 3.434, 9.3, 0.87, 0.0328, -0.0433
76, 3.481, 10.8, 0.90, 0.0429, -0.0421
77, 3.527, 12.3, 0.96, 0.0603, -0.0475
78, 3.574, 14.3, 0.98, 0.0791, -0.0444
79, 3.620, 16.2, 0.99, 0.1172, -0.0609
80, 3.666, 18.1, 0.97, 0.3138, -0.1514
81, 3.713, 19.9, 1.31, 0.4358, -0.2454
82, 3.759, 21.5, 1.11, 0.5139, -0.2508
83, 3.806, 23.6, 1.07, 0.5154, -0.2020
84, 3.852, 25.2, 0.89, 0.4849, -0.1683
85, 3.898, 26.6, 0.92, 0.5536, -0.1906
86, 3.945, 27.2, 0.97, 0.5993, -0.2097
87, 3.991, 28.4, 0.98, 0.6290, -0.2131
88, 4.038, 29.0, 0.96, 0.6226, -0.1916
89, 4.084, 28.9, 0.97, 0.6426, -0.2050
90, 4.130, 28.8, 0.97, 0.6267, -0.1999
91, 4.177, 28.9, 0.95, 0.6182, -0.1954
92, 4.223, 28.7, 0.97, 0.6262, -0.1976
93, 4.270, 27.3, 0.90, 0.5416, -0.1660
94, 4.316, 26.3, 0.84, 0.4943, -0.1594
95, 4.363, 24.7, 0.79, 0.4005, -0.1144
96, 4.409, 22.6, 0.72, 0.3327, -0.1115
97, 4.455, 21.0, 0.72, 0.2520, -0.0899
98, 4.502, 18.8, 0.82, 0.2650, -0.1228
99, 4.548, 16.6, 0.69, 0.1640, -0.0676
100, 4.595, 15.1, 0.73, 0.0892, -0.0275
101, 4.641, 13.5, 0.80, 0.0717, -0.0215
102, 4.687, 11.9, 0.80, 0.0558, -0.0221
103, 4.734, 10.4, 0.78, 0.0432, -0.0280
104, 4.780, 9.2, 0.78, 0.0304, -0.0286
105, 4.827, 8.7, 0.78, 0.0287, -0.0349
106, 4.873, 8.2, 0.76, 0.0241, -0.0320
107, 4.919, 8.2, 0.75, 0.0234, -0.0338
108, 4.966, 8.2, 0.76, 0.0263, -0.0358
109, 5.012, 8.4, 0.77, 0.0281, -0.0343
110, 5.059, 8.7, 0.82, 0.0276, -0.0387
111, 5.105, 10.4, 0.90, 0.0447, -0.0436
112, 5.152, 11.9, 0.94, 0.0574, -0.0446
113, 5.198, 13.5, 1.02, 0.0709, -0.0527
114, 5.244, 15.1, 1.00, 0.0945, -0.0542
115, 5.291, 17.3, 1.00, 0.1747, -0.0930
116, 5.337, 19.0, 0.93, 0.3705, -0.1963
117, 5.384, 21.0, 1.16, 0.4923, -0.2250
118, 5.430, 22.9, 1.06, 0.4948, -0.1819
119, 5.476, 24.7, 0.95, 0.4748, -0.1523
120, 5.523, 26.3, 0.94, 0.5073, -0.1769
