Sample No, Time (sec), AOA (deg), Cl, Cdp, Cm
1, 0.000, 8.2, 0.77, 0.0241, -0.0422
2, 0.046, 8.2, 0.79, 0.0315, -0.0528
3, 0.093, 8.2, 0.78, 0.0214, -0.0336
4, 0.139, 9.4, 0.83, 0.0320, -0.0360
5, 0.186, 10.9, 0.89, 0.0462, -0.0384
6, 0.232, 12.7, 0.92, 0.0580, -0.0380
7, 0.278, 14.0, 1.01, 0.0732, -0.0505
8, 0.325, 16.1, 0.93, 0.1263, -0.0681
9, 0.371, 17.9, 0.87, 0.3132, -0.1722
10, 0.418, 19.8, 1.48, 0.4388, -0.2522
11, 0.464, 21.5, 1.08, 0.3779, -0.1524
12, 0.511, 23.6, 0.85, 0.4385, -0.1513
13, 0.557, 25.1, 0.92, 0.4855, -0.1676
14, 0.603, 26.3, 0.92, 0.5434, -0.1868
15, 0.650, 27.1, 0.89, 0.5575, -0.1855
16, 0.696, 28.4, 0.95, 0.5992, -0.1959
17, 0.743, 28.9, 0.90, 0.5919, -0.1808
18, 0.789, 28.9, 0.97, 0.6237, -0.1959
19, 0.835, 28.9, 0.93, 0.6155, -0.1950
20, 0.882, 29.0, 0.97, 0.6031, -0.1772
21, 0.928, 28.9, 1.08, 0.6299, -0.1698
22, 0.975, 27.9, 0.93, 0.5748, -0.1776
23, 1.021, 26.3, 0.85, 0.4936, -0.1473
24, 1.067, 24.7, 0.82, 0.4198, -0.1254
25, 1.114, 23.1, 0.74, 0.3644, -0.1284
26, 1.160, 21.0, 0.78, 0.3027, -0.1157
27, 1.207, 18.8, 0.72, 0.2467, -0.1014
28, 1.253, 17.2, 0.61, 0.1757, -0.0783
29, 1.299, 15.1, 0.61, 0.1144, -0.0489
30, 1.346, 13.4, 0.66, 0.0630, -0.0203
31, 1.392, 12.0, 0.75, 0.0503, -0.0253
32, 1.439, 10.6, 0.76, 0.0391, -0.0191
33, 1.485, 9.6, 0.72, 0.0266, -0.0193
34, 1.532, 8.7, 0.73, 0.0267, -0.0237
35, 1.578, 8.2, 0.74, 0.0202, -0.0299
36, 1.624, 8.2, 0.76, 0.0259, -0.0336
37, 1.671, 8.2, 0.79, 0.0294, -0.0475
38, 1.717, 8.2, 0.75, 0.0231, -0.0282
39, 1.764, 8.2, 0.83, 0.0260, -0.0509
40, 1.810, 10.1, 0.91, 0.0412, -0.0530
41, 1.856, 11.4, 0.94, 0.0483, -0.0368
42, 1.903, 13.5, 1.01, 0.0737, -0.0468
43, 1.949, 15.5, 1.03, 0.1044, -0.0626
44, 1.996, 17.2, 0.97, 0.1663, -0.0834
