1, 0.000, -2.7, -0.18, 0.0022, -0.0354
2, 0.046, -2.4, -0.23, 0.0058, -0.0244
3, 0.093, -2.4, -0.18, 0.0034, -0.0317
4, 0.139, -2.0, -0.13, 0.0024, -0.0360
5, 0.186, -0.3, -0.03, 0.0017, -0.0302
6, 0.232, 1.3, 0.20, 0.0080, -0.0529
7, 0.278, 2.9, 0.35, 0.0015, -0.0407
8, 0.325, 4.5, 0.59, 0.0039, -0.0519
9, 0.371, 6.6, 0.82, 0.0202, -0.0583
10, 0.418, 8.7, 1.00, 0.0239, -0.0581
11, 0.464, 10.3, 1.13, 0.0249, -0.0561
12, 0.511, 12.4, 1.17, 0.0492, -0.0578
13, 0.557, 14.0, 1.14, 0.0609, -0.0540
14, 0.603, 15.3, 1.12, 0.0679, -0.0495
15, 0.650, 16.7, 1.10, 0.0870, -0.0479
16, 0.696, 17.5, 1.03, 0.0980, -0.0512
17, 0.743, 18.3, 0.97, 0.1342, -0.0644
18, 0.789, 18.5, 0.93, 0.1387, -0.0655
19, 0.835, 17.9, 0.94, 0.1224, -0.0518
20, 0.882, 18.5, 1.01, 0.1409, -0.0663
21, 0.928, 18.5, 0.93, 0.1342, -0.0578
22, 0.975, 17.7, 0.88, 0.1217, -0.0604
23, 1.021, 16.7, 0.83, 0.0913, -0.0367
24, 1.067, 15.1, 0.84, 0.0595, -0.0222
25, 1.114, 13.6, 0.89, 0.0416, -0.0180
26, 1.160, 12.1, 0.88, 0.0384, -0.0207
27, 1.207, 9.8, 0.84, 0.0175, -0.0217
28, 1.253, 8.2, 0.75, 0.0094, -0.0159
29, 1.299, 6.1, 0.73, 0.0054, -0.0411
30, 1.346, 4.5, 0.63, 0.0097, -0.0496
31, 1.392, 2.4, 0.49, 0.0081, -0.0610
32, 1.439, 1.3, 0.25, -0.0017, -0.0379
33, 1.485, -0.3, 0.13, 0.0072, -0.0464
34, 1.532, -1.4, -0.03, 0.0070, -0.0303
35, 1.578, -1.9, -0.10, 0.0056, -0.0370
36, 1.624, -2.5, -0.14, -0.0002, -0.0402
37, 1.671, -2.4, -0.19, 0.0086, -0.0327
38, 1.717, -2.4, -0.19, 0.0015, -0.0347
39, 1.764, -2.4, -0.21, -0.0001, -0.0250
40, 1.810, -1.9, -0.13, 0.0040, -0.0400
41, 1.856, -0.8, 0.00, 0.0019, -0.0433
42, 1.903, 0.7, 0.12, 0.0009, -0.0351
43, 1.949, 2.6, 0.32, 0.0105, -0.0400
44, 1.996, 4.5, 0.56, 0.0099, -0.0484
45, 2.042, 6.6, 0.79, 0.0163, -0.0574
46, 2.088, 8.1, 0.98, 0.0196, -0.0590
47, 2.135, 10.3, 1.13, 0.0339, -0.0608
48, 2.181, 11.9, 1.19, 0.0417, -0.0591
49, 2.228, 13.7, 1.13, 0.0539, -0.0539
50, 2.274, 15.1, 1.14, 0.0686, -0.0540
51, 2.320, 16.4, 1.10, 0.0888, -0.0580
52, 2.367, 17.4, 1.07, 0.1048, -0.0551
53, 2.413, 18.2, 1.06, 0.1308, -0.0652
54, 2.460, 18.3, 1.07, 0.1449, -0.0761
55, 2.506, 18.6, 0.95, 0.1614, -0.0800
56, 2.553, 18.5, 0.90, 0.1352, -0.0556
57, 2.599, 18.6, 0.84, 0.1417, -0.0562
58, 2.645, 18.1, 0.86, 0.1296, -0.0581
59, 2.692, 16.7, 0.90, 0.0893, -0.0345
60, 2.738, 15.6, 0.92, 0.0733, -0.0258
61, 2.785, 14.0, 0.91, 0.0529, -0.0236
62, 2.831, 11.9, 0.91, 0.0376, -0.0309
63, 2.877, 10.3, 0.83, 0.0256, -0.0208
64, 2.924, 8.2, 0.76, 0.0141, -0.0194
65, 2.970, 6.2, 0.73, 0.0095, -0.0379
66, 3.017, 4.5, 0.62, -0.0042, -0.0405
67, 3.063, 2.9, 0.47, 0.0021, -0.0520
68, 3.109, 1.3, 0.26, 0.0084, -0.0390
69, 3.156, -0.3, 0.11, 0.0005, -0.0352
70, 3.202, -1.3, -0.04, 0.0017, -0.0297
71, 3.249, -1.9, -0.11, 0.0033, -0.0332
72, 3.295, -2.5, -0.18, 0.0039, -0.0268
73, 3.342, -2.4, -0.18, 0.0027, -0.0325
74, 3.388, -2.4, -0.19, -0.0001, -0.0293
75, 3.434, -2.4, -0.17, 0.0022, -0.0330
76, 3.481, -1.9, -0.17, 0.0094, -0.0303
77, 3.527, -0.9, -0.01, 0.0105, -0.0426
78, 3.574, 0.7, 0.12, 0.0035, -0.0335
79, 3.620, 2.3, 0.33, 0.0109, -0.0483
80, 3.666, 4.5, 0.57, 0.0220, -0.0601
81, 3.713, 6.1, 0.79, 0.0155, -0.0663
82, 3.759, 8.2, 0.98, 0.0232, -0.0644
83, 3.806, 9.9, 1.10, 0.0274, -0.0512
84, 3.852, 11.9, 1.18, 0.0421, -0.0598
85, 3.898, 13.5, 1.14, 0.0576, -0.0573
86, 3.945, 15.1, 1.15, 0.0755, -0.0543
87, 3.991, 16.5, 1.11, 0.0931, -0.0492
88, 4.038, 17.2, 1.12, 0.1138, -0.0617
89, 4.084, 18.1, 1.07, 0.1508, -0.0798
90, 4.130, 18.3, 0.98, 0.1630, -0.0833
91, 4.177, 18.6, 0.94, 0.1781, -0.0940
92, 4.223, 18.6, 0.89, 0.1477, -0.0616
93, 4.270, 18.6, 0.92, 0.1398, -0.0651
94, 4.316, 18.2, 0.90, 0.1274, -0.0573
95, 4.363, 17.1, 0.89, 0.1018, -0.0367
96, 4.409, 15.3, 0.90, 0.0626, -0.0213
97, 4.455, 14.0, 0.94, 0.0509, -0.0222
98, 4.502, 12.4, 0.92, 0.0393, -0.0271
99, 4.548, 10.3, 0.87, 0.0243, -0.0315
100, 4.595, 8.6, 0.79, 0.0171, -0.0260
101, 4.641, 6.6, 0.73, 0.0072, -0.0353
102, 4.687, 4.5, 0.67, 0.0000, -0.0508
103, 4.734, 2.9, 0.48, -0.0009, -0.0457
104, 4.780, 1.3, 0.30, 0.0001, -0.0429
105, 4.827, 0.2, 0.12, 0.0041, -0.0333
106, 4.873, -0.8, -0.01, 0.0081, -0.0332
107, 4.919, -1.9, -0.06, -0.0014, -0.0461
108, 4.966, -2.4, -0.17, 0.0009, -0.0292
109, 5.012, -2.4, -0.21, 0.0079, -0.0246
110, 5.059, -2.4, -0.19, 0.0006, -0.0307
111, 5.105, -2.4, -0.21, -0.0031, -0.0255
112, 5.152, -2.2, -0.15, 0.0044, -0.0375
113, 5.198, -0.8, -0.04, 0.0040, -0.0344
114, 5.244, 0.8, 0.11, 0.0132, -0.0392
115, 5.291, 2.3, 0.28, 0.0055, -0.0380
116, 5.337, 4.1, 0.53, 0.0090, -0.0533
117, 5.384, 5.7, 0.81, 0.0268, -0.0753
118, 5.430, 7.9, 0.98, 0.0203, -0.0660
119, 5.476, 9.8, 1.07, 0.0252, -0.0494
120, 5.523, 11.9, 1.15, 0.0422, -0.0526
