97, 4.455, 11.5, 0.93, 0.0325, -0.0289
98, 4.502, 10.8, 0.96, 0.0297, -0.0403
99, 4.548, 10.8, 0.91, 0.0356, -0.0448
100, 4.595, 9.8, 0.90, 0.0219, -0.0326
101, 4.641, 9.7, 0.90, 0.0193, -0.0278
102, 4.687, 9.5, 0.91, 0.0195, -0.0339
103, 4.734, 9.5, 0.92, 0.0214, -0.0397
104, 4.780, 9.9, 0.94, 0.0284, -0.0402
105, 4.827, 9.6, 0.93, 0.0165, -0.0358
106, 4.873, 9.7, 0.97, 0.0222, -0.0504
107, 4.919, 10.1, 0.97, 0.0226, -0.0400
108, 4.966, 10.9, 1.00, 0.0252, -0.0373
109, 5.012, 11.4, 1.03, 0.0307, -0.0487
110, 5.059, 13.0, 1.01, 0.0362, -0.0315
111, 5.105, 14.0, 1.02, 0.0435, -0.0298
112, 5.152, 14.8, 1.06, 0.0590, -0.0392
113, 5.198, 15.6, 1.04, 0.0613, -0.0358
114, 5.244, 16.6, 1.06, 0.0870, -0.0496
115, 5.291, 17.3, 1.05, 0.1086, -0.0608
116, 5.337, 18.2, 0.97, 0.1255, -0.0648
117, 5.384, 18.8, 0.93, 0.1552, -0.0756
118, 5.430, 18.9, 0.83, 0.1501, -0.0645
119, 5.476, 19.3, 0.87, 0.1519, -0.0642
120, 5.523, 19.3, 0.86, 0.1584, -0.0725
